Time,Height,SoilTemp
2019-07-23 16:15:00,40.0,22.05
2019-07-23 16:30:00,40.0,22.03
2019-07-23 16:45:00,40.0,21.97
2019-07-23 17:00:00,40.0,21.91
2019-07-23 17:15:00,40.0,21.87
2019-07-23 17:30:00,40.0,21.83
2019-07-23 17:45:00,40.0,21.79
2019-07-23 18:00:00,40.0,21.73
2019-07-23 18:15:00,40.0,21.69
2019-07-23 18:30:00,40.0,21.62
2019-07-23 18:45:00,40.0,21.55
2019-07-23 19:00:00,40.0,21.52
2019-07-23 19:15:00,40.0,21.5
2019-07-23 19:30:00,40.0,21.46
2019-07-23 19:45:00,40.0,21.42
2019-07-23 20:00:00,40.0,21.37
2019-07-23 20:15:00,40.0,21.32
2019-07-23 20:30:00,40.0,21.27
2019-07-23 20:45:00,40.0,21.22
2019-07-23 21:00:00,40.0,21.17
2019-07-23 21:15:00,40.0,21.13
2019-07-23 21:30:00,40.0,21.08
2019-07-23 21:45:00,40.0,21.03
2019-07-23 22:00:00,40.0,20.98
2019-07-23 22:15:00,40.0,20.91
2019-07-23 22:30:00,40.0,20.86
2019-07-23 22:45:00,40.0,20.83
2019-07-23 23:00:00,40.0,20.79
2019-07-23 23:15:00,40.0,20.73
2019-07-23 23:30:00,40.0,20.69
2019-07-23 23:45:00,40.0,20.64
2019-07-24 00:00:00,40.0,20.58
2019-07-24 00:15:00,40.0,20.52
2019-07-24 00:30:00,40.0,20.45
2019-07-24 00:45:00,40.0,20.37
2019-07-24 01:00:00,40.0,20.32
2019-07-24 01:15:00,40.0,20.27
2019-07-24 01:30:00,40.0,20.22
2019-07-24 01:45:00,40.0,20.15
2019-07-24 02:00:00,40.0,20.09
2019-07-24 02:15:00,40.0,20.05
2019-07-24 02:30:00,40.0,19.97
2019-07-24 02:45:00,40.0,19.92
2019-07-24 03:00:00,40.0,19.95
2019-07-24 03:15:00,40.0,19.95
2019-07-24 03:30:00,40.0,19.92
2019-07-24 03:45:00,40.0,19.92
2019-07-24 04:00:00,40.0,19.91
2019-07-24 04:15:00,40.0,19.9
2019-07-24 04:30:00,40.0,19.86
2019-07-24 04:45:00,40.0,19.84
2019-07-24 05:00:00,40.0,19.84
2019-07-24 05:15:00,40.0,19.84
2019-07-24 05:30:00,40.0,19.84
2019-07-24 05:45:00,40.0,19.85
2019-07-24 06:00:00,40.0,19.85
2019-07-24 06:15:00,40.0,19.84
2019-07-24 06:30:00,40.0,19.84
2019-07-24 06:45:00,40.0,19.85
2019-07-24 07:00:00,40.0,19.88
2019-07-24 07:15:00,40.0,19.89
2019-07-24 07:30:00,40.0,19.92
2019-07-24 07:45:00,40.0,19.92
2019-07-24 08:00:00,40.0,19.91
2019-07-24 08:15:00,40.0,19.94
2019-07-24 08:30:00,40.0,19.99
2019-07-24 08:45:00,40.0,20.03
2019-07-24 09:00:00,40.0,20.07
2019-07-24 09:15:00,40.0,20.12
2019-07-24 09:30:00,40.0,20.18
2019-07-24 09:45:00,40.0,20.21
2019-07-24 10:00:00,40.0,20.26
2019-07-24 10:15:00,40.0,20.33
2019-07-24 10:30:00,40.0,20.35
2019-07-24 10:45:00,40.0,20.38
2019-07-24 11:00:00,40.0,20.47
2019-07-24 11:15:00,40.0,20.54
2019-07-24 11:30:00,40.0,20.53
2019-07-24 11:45:00,40.0,20.49
2019-07-24 12:00:00,40.0,20.56
2019-07-24 12:15:00,40.0,20.74
2019-07-24 12:30:00,40.0,20.8
2019-07-24 12:45:00,40.0,20.84
2019-07-24 13:00:00,40.0,20.96
2019-07-24 13:15:00,40.0,21.01
2019-07-24 13:30:00,40.0,20.98
2019-07-24 13:45:00,40.0,20.98
2019-07-24 14:00:00,40.0,21.0
2019-07-24 14:15:00,40.0,21.05
2019-07-24 14:30:00,40.0,21.06
2019-07-24 14:45:00,40.0,21.04
2019-07-24 15:00:00,40.0,20.98
2019-07-24 15:15:00,40.0,20.96
2019-07-24 15:30:00,40.0,20.96
2019-07-24 15:45:00,40.0,20.95
2019-07-24 16:00:00,40.0,20.84
2019-07-24 16:15:00,40.0,20.74
2019-07-24 16:30:00,40.0,20.69
2019-07-24 16:45:00,40.0,20.7
2019-07-24 17:00:00,40.0,20.71
2019-07-24 17:15:00,40.0,20.68
2019-07-24 17:30:00,40.0,20.65
2019-07-24 17:45:00,40.0,20.59
2019-07-24 18:00:00,40.0,20.51
2019-07-24 18:15:00,40.0,20.45
2019-07-24 18:30:00,40.0,20.4
2019-07-24 18:45:00,40.0,20.36
2019-07-24 19:00:00,40.0,20.32
2019-07-24 19:15:00,40.0,20.28
2019-07-24 19:30:00,40.0,20.25
2019-07-24 19:45:00,40.0,20.23
2019-07-24 20:00:00,40.0,20.21
2019-07-24 20:15:00,40.0,20.17
2019-07-24 20:30:00,40.0,20.12
2019-07-24 20:45:00,40.0,20.05
2019-07-24 21:00:00,40.0,20.0
2019-07-24 21:15:00,40.0,19.96
